total_trades,win_rate,profit_factor,avg_win_usd,avg_loss_usd,avg_r,expectancy_usd,expectancy_r,gross_profit,gross_loss,initial_equity,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,avg_bars_held,long_trades,short_trades,stop_loss_exits,take_profit_exits,time_stop_exits,model,label,max_consec_losses,annual_return_pct
2064,0.19428294573643412,1.4209704687202926,1993.180047837342,-338.2311500035362,0.5366491953148859,114.72228523589806,0.5366491953148859,799265.1991827742,562478.4024558807,10000.0,246786.79672689358,2367.867967268936,38.692136527982754,-13.903844546464617,1.8525114547532584,3.314437984496124,1088,976,1662,271,131,A,Model A: current exit (no stop management),32,38.717496206713875
2071,0.14340898116851764,1.6253440848268579,1752.5496399107412,-180.52104824745464,0.5052848565715764,96.6986496680375,0.5052848565715764,520507.2430534902,320244.3395909845,10000.0,210262.90346250567,2002.6290346250566,36.4441891698563,-9.290573140521479,1.94479515982702,2.7445678416224046,1091,980,1104,225,72,B,Model B: stop -> breakeven after +1R,42,36.46789129219285
2071,0.14775470787059392,1.6027598785412485,1852.626171004829,-200.39923033899734,0.5153142427495903,102.94493808746859,0.5153142427495903,566903.6083274777,353704.6415483303,10000.0,223198.96677914745,2131.9896677914744,37.277862401156405,-9.074318740841772,1.9595442463262216,2.810236600676002,1091,980,1150,231,75,C,Model C: stop -> breakeven after +1.5R,42,37.30217684562758
2072,0.4126447876447876,1.6094491570447138,688.6809660946551,-300.61895083808355,0.5209127968865607,107.6105033016325,0.5209127968865607,588822.2260109301,365853.26316994766,10000.0,232968.96284098254,2229.689628409825,37.879206757044905,-10.326934690561105,2.051242170139787,2.6616795366795367,1092,980,1217,215,60,D,Model D: stop -> +0.5R after +2R,11,37.903964640279696
2071,0.4447126991791405,1.4460432291926786,222.70252376888314,-123.34048511341989,0.3280299183499057,30.54923539870038,0.3280299183499057,205109.02439114137,141841.55788043287,10000.0,73267.46651070849,632.6746651070848,22.530070495321407,-9.45505363673714,1.7911901311549914,2.810236600676002,1091,980,1150,231,75,E,"Model E: 50% @ +1.5R, stop -> breakeven on remainder",11,22.543987680324683
2071,0.36793819410912604,1.364413525882207,255.62825332544713,-109.06318121736649,0.3017864093374427,25.120726615382903,0.3017864093374427,194788.7290339907,142763.70421353274,10000.0,62025.02482045799,520.2502482045799,20.4652408978232,-11.05088059223898,1.5921936816190208,3.000482858522453,1091,980,1309,246,84,F,"Model F: 25% @ +1R, 25% @ +2R, trail remainder 3x ATR",13,20.477779030349595
