entry_time,exit_time,direction,entry_price,exit_price,stop_price,take_profit,size_oz,pnl,r_multiple,exit_reason,bars_held
2019-01-04 15:30:00,2019-01-04 15:45:00,long,1290.19,1289.6219841347297,1289.7019841347296,1294.5821427874332,61.47341128628256,-34.91787290289813,-1.1639290967632712,stop_loss,1
2019-01-04 16:00:00,2019-01-04 16:15:00,long,1287.75,1287.0382159120884,1287.1182159120883,1293.4360567912051,47.318770689695434,-33.6807480364635,-1.126625537949779,stop_loss,1
2019-01-08 15:15:00,2019-01-08 15:45:00,long,1280.73,1280.179700546413,1280.259700546413,1284.9626950822844,63.35156018135159,-34.86232895168543,-1.1701043864494005,stop_loss,2
2019-01-08 16:00:00,2019-01-08 16:45:00,long,1280.59,1285.2031181107068,1280.071875765477,1285.2531181107067,57.30212017136009,264.34144834440235,8.903498048020206,take_profit,3
2019-01-10 15:45:00,2019-01-10 16:00:00,long,1291.75,1291.1749590009447,1291.2549590009446,1296.205368991498,61.57599381369486,-35.40872100045117,-1.1616027766439119,stop_loss,1
2019-01-14 14:30:00,2019-01-14 15:30:00,long,1294.05,1293.5012168090345,1293.5812168090345,1298.2690487186896,64.79843116771333,-35.56028982577106,-1.1706545830603714,stop_loss,4
2019-01-15 15:15:00,2019-01-15 15:30:00,long,1289.82,1289.2964692104008,1289.3764692104007,1293.8117771063935,68.24719990743893,-35.72951045547155,-1.180370792458892,stop_loss,1
2019-01-17 15:15:00,2019-01-17 15:30:00,long,1292.32,1291.894339568381,1291.9743395683809,1295.4309438845726,87.26062682451965,-37.1433960774702,-1.2314410117039014,stop_loss,1
2019-01-18 15:30:00,2019-01-18 16:15:00,long,1282.33,1281.6855964502945,1281.7655964502944,1287.4096319473501,53.244023286109346,-34.31063760616744,-1.1417425528979575,stop_loss,3
2019-01-25 13:15:00,2019-01-25 13:30:00,short,1284.1100000000001,1284.5599227145472,1284.4799227145472,1280.7806955690767,80.95794784359164,-36.42481965794551,-1.2162613888089349,stop_loss,1
2019-01-25 13:45:00,2019-01-25 14:30:00,short,1284.6200000000001,1285.0738874426452,1284.9938874426452,1281.2550130161937,79.80719855256442,-36.22348525568958,-1.213968138202113,stop_loss,3
2019-01-25 15:45:00,2019-01-25 16:00:00,short,1288.82,1289.394176230818,1289.314176230818,1284.3724139226365,60.16120780739744,-34.54313554031058,-1.1618855683679712,stop_loss,1
2019-01-28 14:00:00,2019-01-28 15:00:00,long,1299.54,1299.048041326145,1299.128041326145,1303.2476280646952,71.91646004650053,-35.37992631281704,-1.194194236162839,stop_loss,4
2019-01-29 13:30:00,2019-01-29 16:30:00,long,1307.25,1306.6995392196282,1306.779539219628,1311.4841470233475,62.74799295028668,-34.54030916618215,-1.170046055564256,stop_loss,12
2019-01-30 15:00:00,2019-01-30 15:15:00,long,1312.1,1311.601903009527,1311.6819030095269,1315.862872914258,70.35891066659731,-35.045561655987896,-1.1913431615697971,stop_loss,1
2019-01-30 15:30:00,2019-01-30 16:00:00,long,1310.47,1309.9269980031127,1310.0069980031126,1314.637017971988,63.30796047262637,-34.37634895550277,-1.1727854318938837,stop_loss,2
2019-02-04 13:15:00,2019-02-04 14:15:00,long,1310.43,1309.9580433004319,1310.0380433004318,1313.9576102961153,74.51992299915885,-35.170176910758045,-1.204104178058567,stop_loss,4
2019-02-04 14:30:00,2019-02-04 16:00:00,long,1310.1299999999999,1309.6688906057504,1309.7488906057504,1313.5599845482452,76.36409120118714,-35.2121998361879,-1.2099134820789867,stop_loss,6
2019-02-05 15:15:00,2019-02-05 18:15:00,long,1313.46,1314.0800000000002,1313.0235849390738,1317.387735548337,66.44462700037111,41.19566874023795,1.4206659107598278,time_stop,12
2019-02-06 13:15:00,2019-02-06 13:45:00,long,1312.54,1312.1051118134303,1312.1851118134302,1315.7339936791282,82.05689580227632,-35.68557461098677,-1.2254231136099252,stop_loss,2
2019-02-11 14:45:00,2019-02-11 15:00:00,long,1306.28,1305.784226998402,1305.8642269984018,1310.0219570143836,69.78318965265511,-34.596621395185004,-1.1924126859907258,stop_loss,1
2019-02-11 16:00:00,2019-02-11 16:15:00,long,1304.8899999999999,1304.31617719722,1304.39617719722,1309.3344052250204,58.5436237371851,-33.59366625776267,-1.162001429560502,stop_loss,1
2019-02-13 13:15:00,2019-02-13 13:30:00,long,1310.81,1310.397654165026,1310.477654165026,1313.8011125147648,86.68498993609916,-35.74419455490046,-1.2407131114075938,stop_loss,1
2019-02-13 13:45:00,2019-02-13 14:30:00,long,1309.94,1309.516880376987,1309.596880376987,1313.0280766071187,83.65060128099964,-35.39421087882802,-1.233154837655197,stop_loss,3
2019-02-13 15:00:00,2019-02-13 15:30:00,long,1309.19,1308.7239221953885,1308.8039221953884,1312.6647002415045,74.06792051276098,-34.521413784733134,-1.2072121190193674,stop_loss,2
2019-02-14 15:45:00,2019-02-14 18:45:00,short,1312.42,1311.37,1313.1492495928374,1305.856753664465,39.07086981222514,41.024413302843506,1.4398362512825922,time_stop,12
2019-02-15 14:30:00,2019-02-15 14:45:00,long,1317.4199999999998,1316.8802478409957,1316.9602478409956,1321.5577694310368,62.24111965945092,-33.59477871502352,-1.1740067956900981,stop_loss,1
2019-02-20 14:15:00,2019-02-20 15:30:00,long,1343.55,1342.985903438731,1343.0659034387309,1347.9068690514223,58.90292781955179,-33.22693903168677,-1.1652562864528533,stop_loss,5
2019-02-21 14:00:00,2019-02-21 16:45:00,long,1333.84,1333.2241148563169,1333.3041148563168,1338.6629662931477,53.02446676117295,-32.65698132992183,-1.149285720910437,stop_loss,11
2019-02-22 15:15:00,2019-02-22 15:45:00,long,1322.25,1326.294291468981,1321.7950787256689,1326.344291468981,62.24605144412463,251.74117483323195,8.890090873255904,take_profit,2
2019-02-25 14:30:00,2019-02-25 15:00:00,long,1329.4199999999998,1328.905239275645,1328.985239275645,1333.332846519193,66.86960192340538,-34.42184472340934,-1.1840092619190392,stop_loss,2
2019-02-25 15:30:00,2019-02-25 16:30:00,long,1326.94,1332.0644602362215,1326.3650599737532,1332.1144602362215,50.386144141813055,258.2017921112442,8.91303440755973,take_profit,4
2019-02-26 13:30:00,2019-02-26 14:00:00,long,1325.43,1324.916228595021,1324.996228595021,1329.3339426448117,68.56979521999281,-35.22920002929972,-1.1844289390255731,stop_loss,2
