entry_time,exit_time,direction,entry_price,exit_price,stop_price,take_profit,size_oz,pnl,r_multiple,exit_reason,bars_held
2012-05-17 14:15:00,2012-05-17 14:30:00,short,1548.41,1549.689815698299,1549.6098156982991,1537.6116587153092,25.003840208567013,-32.00030721668354,-1.0666769072227846,stop_loss,1
2012-05-17 15:00:00,2012-05-17 15:45:00,short,1557.05,1554.8603581476675,1558.5618640995492,1543.4432231040576,19.779554979356575,43.58858113593386,1.4576171241087061,chandelier_stop,3
2012-05-18 15:30:00,2012-05-18 15:45:00,long,1588.28,1586.708157297166,1586.788157297166,1601.7065843255066,20.13266195202882,-31.645377777918586,-1.0536249564702462,stop_loss,1
2012-05-21 15:15:00,2012-05-21 15:30:00,long,1589.1699999999998,1587.9507116497427,1588.0307116497427,1599.4235951523146,26.27941265410604,-32.04218170075057,-1.0702192732699045,stop_loss,1
2012-05-22 15:45:00,2012-05-22 18:45:00,long,1576.9099999999999,1584.1200000000001,1575.6696914226422,1588.0727771962174,24.061513955584875,108.52299656848888,3.636378491090575,time_stop,12
2012-05-23 15:30:00,2012-05-23 16:30:00,long,1559.34,1559.26,1557.9148259178023,1572.1665667397788,21.16883229205697,21.250979250787953,0.7043915365765621,chandelier_stop,4
2012-05-24 13:15:00,2012-05-24 13:30:00,short,1561.41,1562.7737312328518,1562.6937312328519,1549.8564189043343,23.55089858148705,-32.11709595729682,-1.0623183404381376,stop_loss,1
2012-05-24 15:45:00,2012-05-24 16:00:00,short,1571.97,1573.8353025730507,1573.7553025730508,1555.9022768425432,16.880428694733304,-31.48710707848511,-1.044810331429266,stop_loss,1
2012-05-28 15:30:00,2012-05-28 15:45:00,long,1577.4099999999999,1576.3126713094684,1576.3926713094684,1586.565958214784,29.530486794761682,-32.404650405251004,-1.0786373182477853,stop_loss,1
2012-05-30 14:30:00,2012-05-30 14:45:00,short,1553.32,1554.720395538819,1554.6403955388191,1541.4364401506282,22.678808455560187,-31.75930218689963,-1.060587905402551,stop_loss,1
2012-06-01 15:45:00,2012-06-01 16:00:00,short,1582.52,1584.9836886498451,1584.9036886498452,1561.0668021513927,12.522490974580059,-30.85151888186126,-1.033561430099154,stop_loss,1
2012-06-04 15:15:00,2012-06-04 15:30:00,long,1619.44,1617.8072287086466,1617.8872287086465,1633.4149416221826,19.163907275301685,-31.29027762927292,-1.0515207876687303,stop_loss,1
2012-06-04 15:45:00,2012-06-04 16:30:00,long,1617.02,1616.94,1615.3778400600063,1631.7994394599432,18.06358411987346,21.073337692981067,0.7104179846207973,chandelier_stop,3
2012-06-07 13:15:00,2012-06-07 13:30:00,long,1617.73,1616.4463001027293,1616.5263001027292,1628.5632990754366,24.695951453383007,-31.702190343710154,-1.0664617486312957,stop_loss,1
2012-06-07 13:45:00,2012-06-07 14:15:00,long,1613.78,1624.6489415497385,1612.5667842722512,1624.6989415497385,24.42385717451403,206.19866073613832,6.958787214131261,take_profit,2
2012-06-08 16:00:00,2012-06-08 19:00:00,long,1575.11,1585.24,1573.089756707804,1593.2921896297614,14.973445899053027,98.15367006019237,3.244749033183081,time_stop,12
2012-06-12 16:00:00,2012-06-12 16:15:00,short,1599.94,1601.5454522341313,1601.4654522341314,1586.210929892819,20.023219321707042,-32.146322194534285,-1.0524434644428475,stop_loss,1
2012-06-13 14:00:00,2012-06-13 14:15:00,long,1610.2,1609.1416413331485,1609.2216413331485,1619.0052280016646,31.12153723766653,-32.93774866122663,-1.0817696032247268,stop_loss,1
2012-06-15 15:15:00,2012-06-15 15:30:00,long,1622.11,1629.5988149153177,1621.272353898298,1629.6488149153176,36.231545009961444,271.3313346756071,8.940308920559756,take_profit,1
