trades,win_rate,profit_factor,expectancy_r,max_drawdown_pct,sharpe,max_consec_losses,cagr_pct,segment,variant
781,0.21638924455825864,1.8184421081998228,0.7091109316775641,-7.311220810816844,2.4081642478157175,19,56.11150017834947,2012-2015,current
822,0.1922141119221411,1.5102354400454656,0.4702166016324896,-13.903844546464525,1.629683562195517,32,32.25570283743278,2016-2019,current
461,0.16052060737527116,1.4030349071241197,0.3629289695180921,-7.705721327038076,1.3209789167744093,22,24.812669999809977,2020-2022,current
785,0.3885350318471338,2.0002745071090184,0.6342632371763406,-3.1908225081270314,2.7423030075019996,11,49.799503963491595,2012-2015,proposed
826,0.3559322033898305,1.5437956217713917,0.3716442678371525,-8.014799136931918,1.7683713865658233,12,25.24825519941698,2016-2019,proposed
463,0.3563714902807775,1.5034177518459981,0.3167422044317239,-6.228378662953761,1.6612203321301626,13,21.96917344384137,2020-2022,proposed
593,0.3844856661045531,1.937671614636071,0.6026480449333197,-3.908870914057809,2.181204422439524,9,33.593908491110746,2012-2015,proposed_filtered
643,0.37169517884914466,1.5827012723689153,0.3913928273528499,-7.785283620478179,1.620080160834087,11,20.280565215491976,2016-2019,proposed_filtered
351,0.3789173789173789,1.6398020757604077,0.3879407781749952,-5.5709320492069,1.7402637457410441,10,20.334325533288713,2020-2022,proposed_filtered
