trades,win_rate,profit_factor,avg_r,expectancy_usd,loss_count,loss_dollars,year
46,0.17391304347826086,1.5004297998848222,0.44845512484335354,15.893967913015613,38,1395.219271537769,2012
82,0.2073170731707317,1.6125690164368487,0.5231979026849697,23.81637211195918,65,3207.715649088837,2013
66,0.24242424242424243,1.908692248402244,0.7640549526770237,49.92803492368334,50,3704.876199515058,2014
70,0.2,1.3779595451621445,0.3343794047375052,29.53724545691782,56,6603.829677696942,2015
46,0.21739130434782608,1.8151300529876837,0.701320091397178,132.09809292408997,36,7570.265211751326,2016
37,0.21621621621621623,2.065367613700517,0.9660421324614032,299.98384073290424,29,11487.63872549757,2017
93,0.12903225806451613,0.8535321573417157,-0.1449186405504251,-65.34926654654674,81,37230.712275794605,2018
81,0.19753086419753085,1.399371852852371,0.3624257695522763,149.78346469072153,65,32652.743611809812,2019
55,0.18181818181818182,1.4787034589881463,0.4135082706497139,221.5856058313004,45,24197.42755250899,2020
74,0.10810810810810811,0.7668657084924185,-0.2211916260232123,-165.73152658263422,66,46083.64530212887,2021
9,0.2222222222222222,2.4056851564024395,1.1626839479548814,826.2257052425897,7,5384.468577169168,2022
