trades,win_rate,profit_factor,avg_r,expectancy_usd,loss_count,loss_dollars,atr_pct_bin
325,0.19076923076923077,1.5415632387402012,0.4856269439350558,121.55617108908896,263,84636.3751227313,50-70
251,0.17131474103585656,1.2384602381530507,0.21791607745914465,-5.5497605779621475,208,73305.5229881366,70-85
83,0.1927710843373494,1.3565675548579508,0.3079749844533705,6.315141672004755,67,21576.643943631054,85-95
0,0.0,inf,0.0,0.0,0,0.0,95-100
