exit_time,fixed_0.25pct,fixed_0.5pct,fixed_1pct,vol_adjusted,kelly_0.25,kelly_0.5,anti_martingale,drawdown_aware
2012-05-17 14:30:00,9973.33307731943,9946.66615463886,9893.332309277721,9919.99923195829,9805.928862108127,9611.857724216256,9919.99923195829,9946.66615463886
2012-05-17 17:00:00,9947.080402089949,9894.301194168898,9789.163948293792,9876.990762150439,9618.0793672796,9243.594269882055,9867.774661477328,9894.301194168898
2012-05-18 15:45:00,9920.879171700804,9842.176780843849,9686.02287390478,9822.012265748328,9433.704184175327,8889.20139767327,9815.789993236542,9842.176780843849
2012-05-21 15:30:00,9894.335381457466,9789.510344434906,9582.36119029492,9760.693975911929,9250.015213381026,8543.028097335764,9763.264755070883,9789.510344434906
2012-05-22 17:30:00,10115.9607628465,10228.065109369047,10440.910803394365,10074.626986845096,10757.883357749475,11328.268905541687,10200.643758616647,10228.065109369047
2012-05-23 16:45:00,10089.251250396475,10174.054098693381,10330.64084737908,10029.486952321853,10551.167541767049,10892.917029600305,10119.844447155388,10174.054098693383
2012-05-24 13:30:00,10062.456258785016,10120.013677365123,10220.896554972578,9949.578142812079,10347.236537519346,10471.844480000498,10066.091965362419,10120.013677365125
2012-05-24 16:00:00,10036.172863138181,10067.14620314354,10114.107571801527,9909.151501557186,10150.54308893953,10073.720169940681,10013.50618094978,10067.146203143542
2012-05-28 15:45:00,10009.109386681765,10012.852205228704,10005.01303312435,9839.552744150436,9951.341508337524,9678.332265508045,9959.501473683395,10012.852205228706
2012-05-30 14:45:00,9982.57053578335,9959.754655491459,9898.901074961084,9797.204932877905,9759.317133440161,9304.819668884551,9906.686839649257,9959.754655491462
2012-06-01 16:00:00,9956.776536085776,9908.284564165628,9796.589851446617,9765.347812882492,9575.796971311936,8954.87264065315,9855.490992561596,9934.019609828547
2012-06-04 15:30:00,9930.60214232111,9856.19072821884,9693.57667267601,9695.221702084023,9392.598919290316,8612.234794678727,9803.674724304794,9907.905039516438
2012-06-04 17:30:00,9904.566180821548,9804.508987543993,9591.918551476176,9640.473424373047,9213.384947026543,8283.58607436495,9752.268355583516,9881.92858507257
2012-06-07 13:30:00,9878.159078399964,9752.228318547357,9489.624409164813,9581.723732111386,9034.61580363958,7962.129933066018,9700.26624976543,9855.581837975855
2012-06-07 14:15:00,10099.399891526773,10189.069010394807,10339.779667402143,10035.221368657829,10507.223173659759,10557.7225903139,10134.779356025761,10076.31698937056
2012-06-08 19:00:00,10226.002119704412,10444.521582552874,10858.241817161052,10218.19985690986,11465.788659940543,12484.067604888649,10388.870819348862,10328.942728796681
2012-06-12 16:15:00,10199.096396958757,10389.560240158924,10743.964960802941,10181.921040714955,11246.24001182383,12005.973991454615,10306.868075373126,10274.589587449049
2012-06-13 14:15:00,10171.513715802284,10333.364687865544,10627.740013675859,10100.76162093605,11024.89477487668,11533.377789501628,10251.119792431196,10219.015893942491
2012-06-15 15:30:00,10398.854902824743,10795.28205035715,11577.89280217242,10778.041090116814,12818.203402412273,15285.414669104774,10709.360681061193,10675.82168872227
2012-06-18 15:15:00,10371.10752687445,10737.67171684642,11454.319140535195,10697.515435070794,12569.288092501423,14691.76303009894,10623.632975525856,10618.848869937232
2012-06-19 15:45:00,10342.801883809914,10679.059519031744,11329.271022656127,10624.848587584784,12319.629441254981,14108.130016751904,10565.643264730812,10560.885273457332
2012-06-20 13:45:00,10314.684729512624,10620.996961589437,11206.075445674816,10572.671210797198,12075.89390466314,13549.890394961747,10508.197356888453,10503.465235041129
2012-06-20 14:45:00,10286.870694286132,10563.716920293582,11085.204595863997,10528.322776169023,11838.911893147124,13018.073817742628,10451.52565453091,10446.819053464338
2012-06-20 15:30:00,10259.352593840933,10507.199553267912,10966.58979741261,10487.882158350008,11608.430956709097,12511.199897028775,10395.608526511267,10390.927106420477
2012-06-22 17:30:00,10488.815675510812,10977.212522831049,11947.715055485696,11191.605440564803,13497.963774042799,16584.15736696057,10860.629754022053,10623.33301443827
2012-06-25 16:00:00,10460.446322377373,10917.8318590621,11818.453961370697,11132.12714186536,13232.27127808496,15931.275756378858,10772.50473106181,10565.866643579191
2012-06-27 16:15:00,10432.201838337614,10858.872897238001,11690.808878551445,11086.633794700323,12972.251803255547,15305.163750589376,10714.330571266391,10508.808379986292
2012-06-28 14:15:00,10403.852150889321,10799.854550498174,11563.728983871235,11029.441436026362,12715.699619991621,14699.783399517219,10656.097817027141,10451.69264590765
2012-06-29 14:15:00,10376.31158634207,10742.676865341722,11441.285250581546,10977.53638062384,12470.73296194779,14133.40373957519,10599.681223347161,10396.358234812998
2012-06-29 15:15:00,10348.929609526147,10685.979314112647,11320.515936796419,10933.692096657282,12231.234998862124,13590.54528571781,10543.738372537648,10341.488479257394
2012-06-29 15:45:00,10321.87667261937,10630.11129006005,11202.14496899762,10896.897453426025,11998.545198206764,13073.446027364018,10488.61400707839,10314.454994065458
2012-07-04 16:15:00,10353.332155026908,10694.900918783604,11338.697220172535,10961.022925796313,12264.650989723388,13653.336279972558,10552.541221836595,10345.887859221639
2012-07-06 16:30:00,10326.414796220597,10639.290129693047,11220.780484999188,10925.161182412017,12032.59352608943,13136.671176346417,10497.670667287905,10292.091850070845
2012-07-09 13:45:00,10297.711428617311,10580.144053991658,11096.023076581083,10834.058241924278,11789.187916097635,12605.19149924983,10439.311884285757,10234.875923418838
2012-07-10 15:30:00,10269.713403033405,10522.612213842813,10975.348986952045,10790.648991676106,11555.918055736669,12106.359640468745,10382.54584976621,10179.221554010963
2012-07-11 17:00:00,10241.968896929062,10465.756746247316,10856.745623833522,10734.355748642854,11328.716564106071,11630.312137316798,10326.447184613126,10124.221484688815
2012-07-13 14:00:00,10214.19509862383,10408.995430155246,10738.981914046057,10647.028643522824,11105.142929855672,11171.260816314552,10270.441417713939,10069.312494368109
2012-07-16 15:15:00,10442.409651880418,10874.129338212824,11698.741126115458,11360.684549425487,12910.867012136887,14804.210849083895,10729.38393393968,10294.289952730225
2012-07-17 14:45:00,10413.675724582883,10814.285594815543,11569.977444859202,11284.571529424022,12652.321073283572,14211.288841698846,10670.336769887912,10237.637247283405
