entry_time,exit_time,direction,entry_price,exit_price,stop_price,take_profit,size_oz,pnl,r_multiple,exit_reason,bars_held
2012-05-17 14:15:00,2012-05-17 14:30:00,short,1548.41,1549.689815698299,1549.6098156982991,1537.6116587153092,25.003840208567013,-32.00030721668354,-1.0666769072227846,stop_loss,1
2012-05-17 15:00:00,2012-05-17 15:45:00,short,1557.05,1554.8603581476675,1558.5618640995492,1543.4432231040576,19.779554979356575,43.58858113593386,1.4576171241087061,chandelier_stop,3
2012-05-18 15:30:00,2012-05-18 15:45:00,long,1588.28,1586.708157297166,1586.788157297166,1601.7065843255066,20.13266195202882,-31.645377777918586,-1.0536249564702462,stop_loss,1
2012-05-21 15:15:00,2012-05-21 15:30:00,long,1589.1699999999998,1587.9507116497427,1588.0307116497427,1599.4235951523146,26.27941265410604,-32.04218170075057,-1.0702192732699045,stop_loss,1
2012-05-23 15:30:00,2012-05-23 16:30:00,long,1559.34,1559.26,1557.9148259178023,1572.1665667397788,20.9403907326908,21.021651209867642,0.7043915365765621,chandelier_stop,4
2012-05-24 13:15:00,2012-05-24 13:30:00,short,1561.41,1562.7737312328518,1562.6937312328519,1549.8564189043343,23.296751166920025,-31.770507190303253,-1.0623183404381376,stop_loss,1
2012-05-28 15:30:00,2012-05-28 15:45:00,long,1577.4099999999999,1576.3126713094684,1576.3926713094684,1586.565958214784,29.303661493913012,-32.15574849489134,-1.0786373182477853,stop_loss,1
2012-05-30 14:30:00,2012-05-30 14:45:00,short,1553.32,1554.720395538819,1554.6403955388191,1541.4364401506282,22.504611274640897,-31.515357231865394,-1.060587905402551,stop_loss,1
2012-06-04 15:15:00,2012-06-04 15:30:00,long,1619.44,1617.8072287086466,1617.8872287086465,1633.4149416221826,19.075856453000075,-31.146510774438784,-1.0515207876687303,stop_loss,1
2012-06-04 15:45:00,2012-06-04 16:30:00,long,1617.02,1616.94,1615.3778400600063,1631.7994394599432,17.98058886151511,20.976513768410218,0.7104179846207972,chandelier_stop,3
2012-06-07 13:15:00,2012-06-07 13:30:00,long,1617.73,1616.4463001027293,1616.5263001027292,1628.5632990754366,24.58248300450392,-31.556530907540605,-1.066461748631296,stop_loss,1
2012-06-07 13:45:00,2012-06-07 14:15:00,long,1613.78,1624.6489415497385,1612.5667842722512,1624.6989415497385,24.31163889474993,205.2512567764715,6.958787214131261,take_profit,2
2012-06-13 14:00:00,2012-06-13 14:15:00,long,1610.2,1609.1416413331485,1609.2216413331485,1619.0052280016646,30.777073342323106,-32.57318231217248,-1.0817696032247268,stop_loss,1
2012-06-15 15:15:00,2012-06-15 15:30:00,long,1622.11,1629.5988149153177,1621.272353898298,1629.6488149153176,35.83052178822493,268.3281459912779,8.940308920559758,take_profit,1
2012-06-18 14:15:00,2012-06-18 15:15:00,long,1619.87,1619.79,1618.6817215162669,1630.5645063535962,25.935234675805287,21.42792074794383,0.6952990179576924,chandelier_stop,4
2012-06-19 15:30:00,2012-06-19 15:45:00,long,1629.61,1628.6576992432697,1628.7376992432696,1637.4607068105731,35.403574810401054,-33.71485108289953,-1.0917114875605494,stop_loss,1
2012-06-20 13:15:00,2012-06-20 13:45:00,long,1614.12,1613.1247683764127,1613.2047683764126,1622.357084612286,33.63238305094092,-17.829058043601655,-0.5792149201704475,stop_loss,2
2012-06-22 14:45:00,2012-06-22 15:30:00,short,1570.14,1565.4924530541202,1571.074468243203,1561.729785811175,32.88280109484532,98.63606090080926,3.2099803039436465,chandelier_stop,3
2012-06-25 15:45:00,2012-06-25 16:00:00,short,1571.51,1572.5669242826907,1572.4869242826908,1562.717681455782,31.75664900860333,-33.5643734740789,-1.081889662707103,stop_loss,1
