entry_time,direction,adx_sig,atr_pct_sig,ema50_slope_sig,pnl,r_multiple,mfe_r,mae_r,bars_held,exit_reason,is_loss
2012-05-18 15:30:00,long,45.85334200553198,0.53,2.197964786489554,-31.408075272170123,-1.0536249564702462,1.072499129405991,2.205326334840856,1,stop_loss,True
2012-05-22 15:45:00,long,43.17528955677762,0.78,-1.6183331567712411,265.3851363924789,8.959687451241058,10.852138125719993,0.0,7,take_profit,False
2012-05-24 15:45:00,short,29.240874417496176,0.72,0.9678327200455384,-31.57737335864663,-1.044810331429266,0.0,3.2263438629100887,1,stop_loss,True
2012-06-01 15:45:00,short,28.75728226012808,0.89,-0.23042307738721,-30.939963077126865,-1.033561430099154,0.591520205498161,1.8920256218415217,1,stop_loss,True
2012-06-20 13:15:00,long,27.98380696857521,0.62,-0.847300828764796,-33.96175516546251,-1.087409567084632,1.3767006815844436,4.457887921320204,2,stop_loss,True
2012-06-20 14:15:00,long,36.382552955908935,0.72,-1.0216665580374753,-33.57731204497589,-1.0786189187890198,1.1989385115336686,1.1498016872905312,2,stop_loss,True
2012-06-20 15:15:00,long,42.32710693685122,0.78,-1.1883112098027568,-33.20209302342536,-1.0700280488791818,0.0,6.845241777946388,1,stop_loss,True
2012-06-25 15:45:00,short,28.86732480093611,0.57,-0.4081515500123481,-34.36049924587251,-1.0818896627071033,1.1874001092541575,1.709446709012405,1,stop_loss,True
2012-06-28 13:45:00,short,36.869991406784486,0.59,-1.2059287325909276,-34.29947309837085,-1.087006861547071,4.089322492716296,1.533495934768364,2,stop_loss,True
2012-06-29 14:00:00,short,44.36024910594777,0.63,1.3707393057443866,-33.30237935047365,-1.0588602816658157,0.0,4.907475983891728,1,stop_loss,True
2012-06-29 14:30:00,short,47.43763784363546,0.74,1.4912643009217086,-33.09303688932344,-1.0555572310286434,3.250098015178636,4.041788557337435,3,stop_loss,True
2012-06-29 15:30:00,short,53.14446443991017,0.87,1.530800567724344,-32.678067538631986,-1.0456322702929406,0.0,7.803118220099813,1,stop_loss,True
2012-07-06 16:00:00,long,38.673709245086265,0.89,-1.0618939029683618,-32.517001688057576,-1.039949589301697,1.6429268600337683,1.4381852148623435,2,stop_loss,True
2012-07-10 14:00:00,short,34.239575373205334,0.76,1.066211101534592,-33.78600267218355,-1.0875436072562754,5.646562668034994,2.3199055922932907,6,stop_loss,True
2012-07-19 13:15:00,short,30.996950422376656,0.61,0.8752997030689267,-33.9016969054512,-1.0838522132952195,0.0,2.316417392282342,1,stop_loss,True
2012-07-19 13:45:00,short,33.250700446659025,0.59,1.0132486512770602,-33.844666164580055,-1.0855586708420122,0.1497276739737648,3.78597118476221,1,stop_loss,True
2012-07-19 14:15:00,short,36.12792384225013,0.63,1.1021374278648428,-33.624247438143065,-1.0820125631415694,0.953396046521675,2.5936473093544588,1,stop_loss,True
2012-07-19 14:45:00,short,39.94711458594679,0.66,1.2718139785439526,-33.408036056967994,-1.0785560154510143,4.045634795731042,2.189748930698815,3,stop_loss,True
2012-07-25 13:45:00,short,26.87634878178468,0.55,1.564955842013756,-33.322954672562105,-1.0828535636656622,0.0,2.4959636054301946,1,stop_loss,True
2012-07-25 14:15:00,short,29.80452974992059,0.51,1.6790953168282925,-33.23733002577004,-1.0835912406190984,1.9017007240863868,1.0135437925072794,1,stop_loss,True
2012-07-27 15:45:00,long,37.92653296685616,0.75,1.3006613626930603,-32.338006549928714,-1.0577102031038097,6.427473870692708,1.8539402747115263,3,stop_loss,True
2012-08-01 16:00:00,long,27.011700060150567,0.75,-0.6108655042866475,-32.3339900020512,-1.075144729683361,0.0,6.265191837355768,1,stop_loss,True
2012-08-09 15:15:00,long,25.36729201446997,0.65,-0.5935091509540992,141.29407115442285,4.500273751078355,8.259819213935467,0.0,12,time_stop,False
2012-08-15 15:45:00,short,36.55523631365206,0.78,-1.0483445935954865,-33.84692079447233,-1.0744163462491807,0.0,4.567303251047492,1,stop_loss,True
2012-08-20 15:30:00,long,36.15962513806012,0.56,-0.984452121177908,-35.06751217729156,-1.124390898694927,3.0631258803653987,1.6481794077091931,1,stop_loss,True
2012-08-21 14:15:00,long,30.55361705457151,0.53,1.3878480866491856,277.0741711177323,8.914065777043591,20.589839820467606,0.8593422295687636,4,take_profit,False
2012-08-31 13:15:00,long,28.10009325019641,0.51,0.8192926628000539,300.1135146012058,8.916478906208287,10.005827036347396,0.0,9,take_profit,False
