model,final_equity,cagr_pct,max_drawdown_pct,ulcer_index,sharpe,mar_ratio,longest_recovery_days,still_in_drawdown,current_unrecovered_days
fixed_0.25pct,146972.19342884867,31.569098285415386,-11.69051922651887,3.052691420613831,1.8568099050285265,2.700401724998132,392,True,236
fixed_0.5pct,1842882.0825167615,70.3204920497295,-22.347620204213225,6.093819114646635,1.8567315043113164,3.1466657929183834,392,True,236
fixed_1pct,184118674.78689182,172.5150160979743,-40.694994646769054,12.106622379381491,1.856550899422046,4.239219530445889,399,True,236
vol_adjusted,2539644.405130105,75.9885586210269,-23.71835110295728,7.3428253836297355,1.7757564955137464,3.203787577440508,621,True,236
kelly_0.25,103450174238.2512,420.09056731620797,-63.12820816182047,21.85036222514284,1.8561862107933482,6.654561875720655,620,True,236
kelly_0.5,1185226330967389.5,1250.322961839929,-88.77230368213125,44.90862404932124,1.8550705568766381,14.084606459205848,1190,True,236
anti_martingale,2549596.047837338,76.05883241012239,-22.563230674047016,6.276306475797013,1.8607672356395952,3.370919417918632,392,True,236
drawdown_aware,734965.5252181633,55.0645701872017,-18.540113972011426,5.862353722969853,1.764361562637578,2.970023284124813,443,True,236
