trades,win_rate,profit_factor,avg_r,max_drawdown_pct,session,year
160,0.19375,1.6815186162795317,0.6197883309803622,-5.924425141991853,London+NY overlap,2012
226,0.19469026548672566,1.5225019019449166,0.4725021168058772,-6.103407433925444,London+NY overlap,2013
206,0.23786407766990292,1.950389228901247,0.8215787600336312,-6.779123887865908,London+NY overlap,2014
189,0.23809523809523808,2.1629560270621644,0.9450730249643564,-7.311220810816886,London+NY overlap,2015
182,0.21978021978021978,1.7766518164937068,0.7301779482466905,-5.4606463818398465,London+NY overlap,2016
166,0.27710843373493976,2.5583073019471367,1.332868934451019,-5.735503974858547,London+NY overlap,2017
219,0.1415525114155251,1.0088398524308522,0.021829674955406143,-13.903844546464592,London+NY overlap,2018
255,0.1607843137254902,1.097554813481888,0.10819105108590446,-9.463337034324745,London+NY overlap,2019
194,0.15979381443298968,1.3413943368581764,0.326392071557943,-6.797415237774026,London+NY overlap,2020
233,0.1630901287553648,1.3981268655186945,0.39011921246111214,-7.705721327038123,London+NY overlap,2021
34,0.14705882352941177,1.397031064276726,0.38507107535765817,-2.6073733608733396,London+NY overlap,2022
