entry_time,exit_time,direction,entry_price,stop_price,take_profit,exit_price,pnl,equity_after,r_multiple,mfe_r,mae_r,mfe_r_prior_bars,exit_reason,bars_held,holding_minutes,atr_pct_entry,trend_state,session,day_sweep,week_sweep,sweep_bucket,year
2012-05-17 14:15:00,2012-05-17 14:30:00,short,1548.41,1549.6098156982991,1537.6116587153092,1549.689815698299,-32.00030721668354,9967.999692783316,-1.0666769072227846,1.6585880671682862,1.4502227320968943,0.0,stop_loss,1,15,0.34,down,London+NY overlap,False,False,no_sweep,2012
2012-05-17 15:00:00,2012-05-17 17:00:00,short,1557.05,1558.5618640995492,1543.4432231040576,1558.6418640995491,-31.486363476697036,9936.51332930662,-1.0529148089592035,5.344395704884372,8.069508366285913,5.344395704884372,stop_loss,8,120,0.68,down,London+NY overlap,True,False,prev_day_sweep,2012
2012-05-18 15:30:00,2012-05-18 15:45:00,long,1588.28,1586.788157297166,1601.7065843255066,1586.708157297166,-31.408075272170123,9905.10525403445,-1.0536249564702462,1.0724991294059907,2.205326334840856,0.0,stop_loss,1,15,0.53,up,London+NY overlap,False,False,no_sweep,2012
2012-05-21 15:15:00,2012-05-21 15:30:00,long,1589.1699999999998,1588.0307116497427,1599.4235951523146,1587.9507116497427,-31.801903639903987,9873.303350394546,-1.0702192732699045,0.8338538700809143,1.5448240119390966,0.0,stop_loss,1,15,0.48,up,London+NY overlap,False,False,no_sweep,2012
2012-05-22 15:45:00,2012-05-22 17:30:00,long,1576.9099999999999,1575.6696914226422,1588.0727771962174,1588.0227771962175,265.3851363924789,10138.688486787025,8.959687451241058,10.852138125719991,0.0,8.288260024695644,take_profit,7,105,0.78,up,London+NY overlap,True,False,prev_day_sweep,2012
2012-05-23 15:30:00,2012-05-23 16:45:00,long,1559.34,1557.9148259178023,1572.1665667397788,1557.8348259178024,-32.123425471479564,10106.565061315545,-1.0561334934442312,3.7258606273643577,5.171298083554428,3.7258606273643577,stop_loss,5,75,0.66,up,London+NY overlap,True,False,prev_day_sweep,2012
2012-05-24 13:15:00,2012-05-24 13:30:00,short,1561.41,1562.6937312328519,1549.8564189043343,1562.7737312328518,-32.20916827040038,10074.355893045144,-1.0623183404381376,0.0,5.141263086150959,0.0,stop_loss,1,15,0.33,down,London+NY overlap,False,False,no_sweep,2012
2012-05-24 15:45:00,2012-05-24 16:00:00,short,1571.97,1573.7553025730508,1555.9022768425432,1573.8353025730507,-31.57737335864663,10042.778519686497,-1.044810331429266,0.0,3.2263438629100887,0.0,stop_loss,1,15,0.72,down,London+NY overlap,True,False,prev_day_sweep,2012
2012-05-28 15:30:00,2012-05-28 15:45:00,long,1577.4099999999999,1576.3926713094684,1586.565958214784,1576.3126713094684,-32.49754707069332,10010.280972615803,-1.0786373182477855,0.7470545233548557,1.5334277058331571,0.0,stop_loss,1,15,0.43,up,London+NY overlap,False,False,no_sweep,2012
2012-05-30 14:30:00,2012-05-30 14:45:00,short,1553.32,1554.6403955388191,1541.4364401506282,1554.720395538819,-31.85034878771282,9978.43062382809,-1.060587905402551,0.651319983077941,2.484104121506834,0.0,stop_loss,1,15,0.69,down,London+NY overlap,False,False,no_sweep,2012
2012-06-01 15:45:00,2012-06-01 16:00:00,short,1582.52,1584.9036886498452,1561.0668021513927,1584.9836886498451,-30.939963077126862,9947.490660750962,-1.033561430099154,0.591520205498161,1.8920256218415217,0.0,stop_loss,1,15,0.89,down,London+NY overlap,True,False,prev_day_sweep,2012
