entry_time,exit_time,direction,entry_price,stop_price,take_profit,exit_price,pnl,equity_after,r_multiple,mfe_r,mae_r,mfe_r_prior_bars,exit_reason,bars_held,holding_minutes,atr_pct_entry,trend_state,session,day_sweep,week_sweep,sweep_bucket,time,adx_sig,atr_pct_sig,ema50_slope_sig,regime,year,is_loss
2012-06-20 13:15:00,2012-06-20 13:45:00,long,1614.12,1613.2047683764126,1622.357084612286,1613.1247683764127,-33.96175516546251,10376.637339989547,-1.087409567084632,1.3767006815844436,4.457887921320204,1.3767006815844436,stop_loss,2,30,0.62,up,ny,True,False,prev_day_sweep,2012-06-20 13:15:00,27.98380696857521,0.62,-0.847300828764796,Strong Trend,2012,True
2012-06-20 14:15:00,2012-06-20 14:45:00,long,1611.78,1610.7624332204998,1620.9381010155014,1610.6824332205,-33.57731204497589,10343.060027944572,-1.0786189187890198,1.1989385115336686,1.1498016872905312,1.1989385115336686,stop_loss,2,30,0.72,up,ny,True,False,prev_day_sweep,2012-06-20 14:15:00,36.382552955908935,0.72,-1.0216665580374753,Strong Trend,2012,True
2012-06-28 13:45:00,2012-06-28 14:15:00,short,1570.1,1571.0194677129764,1561.8247905832147,1571.0994677129763,-34.29947309837085,10483.718493398022,-1.087006861547071,4.089322492716296,1.533495934768364,4.089322492716296,stop_loss,2,30,0.59,down,ny,False,False,no_sweep,2012-06-28 13:45:00,36.869991406784486,0.59,-1.2059287325909276,Strong Trend,2012,True
2012-06-29 14:30:00,2012-06-29 15:15:00,short,1583.36,1584.799956573046,1570.400390842586,1584.879956573046,-33.09303688932344,10417.323077158224,-1.0555572310286434,3.250098015178636,4.041788557337435,3.250098015178636,stop_loss,3,45,0.74,down,ny,True,False,prev_day_sweep,2012-06-29 14:30:00,47.43763784363546,0.74,1.4912643009217086,Strong Trend,2012,True
2012-07-06 16:00:00,2012-07-06 16:30:00,long,1588.27,1586.2674762845302,1606.292713439227,1586.1874762845302,-32.517001688057576,10390.10412744187,-1.039949589301697,1.6429268600337683,1.4381852148623435,1.6429268600337683,stop_loss,2,30,0.89,up,ny,True,False,prev_day_sweep,2012-07-06 16:00:00,38.673709245086265,0.89,-1.0618939029683618,Strong Trend,2012,True
2012-07-10 14:00:00,2012-07-10 15:30:00,short,1596.11,1597.0238302899234,1587.8855273906915,1597.1038302899233,-33.78600267218355,10321.66164612633,-1.0875436072562754,5.646562668034994,2.3199055922932907,5.646562668034994,stop_loss,6,90,0.76,down,ny,True,False,prev_day_sweep,2012-07-10 14:00:00,34.239575373205334,0.76,1.066211101534592,Strong Trend,2012,True
2012-07-19 14:45:00,2012-07-19 15:30:00,short,1589.34,1590.3583815910297,1580.1745656807357,1590.4383815910294,-33.408036056967994,10291.518865706812,-1.0785560154510143,4.045634795731042,2.189748930698815,4.045634795731042,stop_loss,3,45,0.66,down,ny,True,False,prev_day_sweep,2012-07-19 14:45:00,39.94711458594679,0.66,1.2718139785439526,Strong Trend,2012,True
2012-07-27 15:45:00,2012-07-27 16:30:00,long,1619.13,1617.7437633261136,1631.6061300649765,1617.6637633261137,-32.338006549928714,10158.861326699727,-1.0577102031038097,6.427473870692708,1.8539402747115263,6.427473870692708,stop_loss,3,45,0.75,up,ny,False,False,no_sweep,2012-07-27 15:45:00,37.92653296685616,0.75,1.3006613626930603,Strong Trend,2012,True
2012-09-06 13:30:00,2012-09-06 14:30:00,long,1707.41,1706.580042900727,1714.8796138934554,1706.500042900727,-38.36439226068448,11625.482083391902,-1.0963905243656769,2.915813362064468,5.614748044305616,2.915813362064468,stop_loss,4,60,0.63,up,ny,False,False,no_sweep,2012-09-06 13:30:00,56.4883675421853,0.63,3.226743804011787,Strong Trend,2012,True
2012-09-12 14:15:00,2012-09-12 14:45:00,long,1742.21,1741.065355247936,1752.5118027685771,1740.985355247936,-38.953327897121575,12097.279724646962,-1.0698906799298789,0.4542894195446097,1.476440613520081,0.4542894195446097,stop_loss,2,30,0.9,up,ny,False,False,no_sweep,2012-09-12 14:15:00,32.89428611144951,0.9,1.49952570829444,Strong Trend,2012,True
2012-09-12 15:00:00,2012-09-12 15:30:00,long,1741.91,1740.8425931048523,1751.5166620563275,1740.7625931048524,-39.01183952911127,12058.26788511785,-1.0749479887787958,2.1172806830031115,3.916032413695489,2.1172806830031115,stop_loss,2,30,0.86,up,ny,False,False,no_sweep,2012-09-12 15:00:00,28.60006700277218,0.86,1.557032690412472,Strong Trend,2012,True
2012-10-03 14:15:00,2012-10-03 15:15:00,long,1776.72,1775.9347539279893,1783.7872146480977,1775.8547539279891,-40.32258308860085,12157.806561094783,-1.1018788923006952,6.48204452263753,2.075782430628694,3.794988738204375,stop_loss,4,60,0.61,up,ny,False,False,no_sweep,2012-10-03 14:15:00,30.08384657101665,0.61,0.8763771377654243,Strong Trend,2012,True
2012-10-11 13:45:00,2012-10-11 14:15:00,short,1770.57,1771.369215314512,1763.3770621693916,1771.449215314512,-41.06581305641827,12402.009338106913,-1.1000981819883684,0.8132977286560626,1.2262027293586517,0.8132977286560626,stop_loss,2,30,0.57,down,ny,True,False,prev_day_sweep,2012-10-11 13:45:00,34.917718254822795,0.57,1.496923806231846,Strong Trend,2012,True
2012-11-06 14:15:00,2012-11-06 15:45:00,short,1692.92,1693.668449686233,1686.1839528239032,1693.748449686233,-42.201518153373954,12666.561828346506,-1.1068876124493698,5.103883494462281,1.5498703805170808,5.103883494462281,stop_loss,6,90,0.53,down,ny,True,False,prev_day_sweep,2012-11-06 14:15:00,40.01143666146135,0.53,1.6270354571887724,Strong Trend,2012,True
2012-11-19 16:00:00,2012-11-19 17:30:00,short,1731.16,1731.9524466992625,1724.027979706638,1732.0324466992624,-43.8322589147519,13227.170973557457,-1.1009531619910682,4.65646459684233,2.13263554706304,4.65646459684233,stop_loss,6,90,0.58,down,ny,True,False,prev_day_sweep,2012-11-19 16:00:00,26.234641233861243,0.58,1.3026331486901,Strong Trend,2012,True
2012-12-10 13:15:00,2012-12-10 14:30:00,short,1712.57,1713.2593294281962,1706.3660351462331,1713.3393294281962,-43.816543912188784,13042.919364675805,-1.116054816068504,2.6112333615436487,1.0590001966260885,2.6112333615436487,stop_loss,5,75,0.51,down,ny,True,False,prev_day_sweep,2012-12-10 13:15:00,30.13637857933364,0.51,1.5016921393722331,Strong Trend,2012,True
