trades,win_rate,profit_factor,expectancy_r,max_drawdown_pct,sharpe,max_consec_losses,cagr_pct,spread_mult,spread_value,variant
2062,0.19835111542192047,1.7035479276876138,0.6073775589265208,-12.480127604768244,2.0814420572377816,32,44.968669176422125,0.5,0.05,current
2064,0.19428294573643412,1.5989448950222434,0.5366491953148859,-13.903844546464539,1.8567948592705266,32,38.717496206713875,1.0,0.1,current
2067,0.19158200290275762,1.5248322808639079,0.4865514522461745,-15.304607028763062,1.6878482539202593,32,34.466454018584216,1.5,0.15000000000000002,current
2069,0.1875302078298695,1.4366547585125642,0.4193805451500705,-19.059163125111738,1.4666168873753345,33,28.929248107354468,2.0,0.2,current
2073,0.3748191027496382,1.8364409342087102,0.5196907590213117,-6.593526869442144,2.4242117636453666,13,38.1633878694406,0.5,0.05,proposed
2074,0.36837029893924783,1.7029690891910476,0.4587880651247847,-8.014799136931943,2.136216318842981,13,32.94691789735074,1.0,0.1,proposed
2077,0.3635050553683197,1.5929560462353567,0.4037619198783601,-10.172879096704017,1.8865894825900198,13,28.436710374031414,1.5,0.15000000000000002,proposed
2079,0.35594035594035595,1.4566519838142322,0.3253383829752359,-16.553665568934537,1.5504860547904196,13,22.246916772348712,2.0,0.2,proposed
1586,0.38398486759142497,1.8681948230707548,0.5335145795560303,-7.183304021607782,2.1244933238038897,11,28.89295863343193,0.5,0.05,proposed_filtered
1587,0.3780718336483932,1.7264271348828002,0.4695671655783014,-7.785283620478271,1.8673853525252757,11,24.972449154167165,1.0,0.1,proposed_filtered
1589,0.37256135934550033,1.6088209013854886,0.41170557566064586,-10.130119888689839,1.6444852209284928,13,21.543900977472006,1.5,0.15000000000000002,proposed_filtered
1591,0.36580766813324955,1.4686580658323163,0.3316505964134491,-15.955488434302417,1.3605805472235901,13,16.954551859055233,2.0,0.2,proposed_filtered
