trades,win_rate,profit_factor,expectancy_r,avg_r,max_drawdown_pct,max_consec_losses,model,label
659,0.18361153262518967,1.4018382323165608,0.36128621537294103,0.36128621537294103,-10.655681913815657,33,current,"Current exit, no stop management (baseline)"
657,0.1278538812785388,1.5202663898124964,0.3282597305272982,0.3282597305272982,-8.65710164181154,40,A,Model A: stop -> breakeven after +1R
657,0.3942161339421613,1.540088037810415,0.36098821597005415,0.36098821597005415,-7.3946807481329495,12,B,Model B: stop -> +0.5R after +2R
657,0.4581430745814307,1.3768371872068483,0.2253040421193691,0.2253040421193691,-8.14995239317582,12,C,"Model C: 25% @ +1R, stop -> breakeven on remainder"
657,0.3470319634703196,1.5934965921209236,0.3936626197495701,0.3936626197495701,-6.787723095371372,13,D,"Model D: 25% @ +1R, 25% @ +2R, trail remainder (Chandelier 22/3x)"
656,0.4298780487804878,1.3447628386409898,0.2169340368231104,0.2169340368231104,-7.196218376641202,12,E,"Model E: 50% @ +1.5R, trail remainder (3x ATR)"
